actual,oof_predictions,meta_predictions,oof_residuals,meta_residuals
14194660.0,12953739.0,12960959.823128121,1240921.0,1233700.176871879
14753867.0,14051016.0,14020399.843549158,702851.0,733467.1564508416
15093839.0,13576365.0,13585618.211126635,1517474.0,1508220.7888733651
15843767.0,13763613.0,13766561.05188426,2080154.0,2077205.94811574
16817937.0,12885609.0,13006636.99944613,3932328.0,3811300.0005538706
4350844.0,13424354.0,13383591.959108869,-9073510.0,-9032747.959108869
9286510.0,8973939.0,9017103.642303543,312571.0,269406.35769645683
9463090.0,9523561.0,9533660.450837117,-60471.0,-70570.45083711669
9619986.0,9578609.0,9633887.43066493,41377.0,-13901.430664930493
9716916.0,9809454.0,9853279.859164786,-92538.0,-136363.8591647856
10006435.0,9694415.0,9686311.290129807,312020.0,320123.70987019315
10555258.0,9540236.0,9594808.701176353,1015022.0,960449.2988236472
10971252.0,9769166.0,9828359.48602963,1202086.0,1142892.5139703695
11158448.0,9332105.0,9342216.31517332,1826343.0,1816231.6848266795
11357291.0,9608915.0,9618223.823413724,1748376.0,1739067.176586276
8312490.0,9470344.0,9462942.228564663,-1157854.0,-1150452.2285646629
19613068.0,19812006.0,19883896.721617505,-198938.0,-270828.72161750495
20721553.0,19253076.0,19261124.842096366,1468477.0,1460428.157903634
21139146.0,19961092.0,20066321.331680164,1178054.0,1072824.6683198363
21004395.0,20519206.0,20589607.936967596,485189.0,414787.0630324036
21586066.0,21075096.0,21183122.773307383,510970.0,402943.22669261694
22653944.0,21553594.0,21554933.111004382,1100350.0,1099010.8889956176
23341866.0,21188890.0,21290154.715109915,2152976.0,2051711.2848900855
24271810.0,22022940.0,22023784.056176327,2248870.0,2248025.943823673
24765838.0,19553660.0,19800077.09372351,5212178.0,4965760.906276491
16229724.0,22241176.0,22240785.682364568,-6011452.0,-6011061.682364568
33549266.0,34426852.0,34598147.49324296,-877586.0,-1048881.4932429567
34684574.0,34277368.0,34443575.530980185,407206.0,240998.46901981533
35102108.0,34856664.0,34799453.8085237,245444.0,302654.19147630036
34534903.0,34995216.0,35559317.20372093,-460313.0,-1024414.2037209272
35355640.0,34738344.0,34897754.042837024,617296.0,457885.95716297626
36543479.0,35037568.0,34979939.205858335,1505911.0,1563539.794141665
37356125.0,34630388.0,34832855.14893006,2725737.0,2523269.851069942
38580323.0,32793642.0,32977298.63439606,5786681.0,5603024.365603939
38871383.0,32730866.0,33249879.755017545,6140517.0,5621503.244982455
25221795.0,34055392.0,34600790.510811046,-8833597.0,-9378995.510811046
5981042.0,6710959.0,6739849.692592668,-729917.0,-758807.6925926683
6401930.0,6476159.0,6501880.339194629,-74229.0,-99950.33919462934
6568911.0,6350749.5,6342783.331375609,218161.5,226127.66862439085
6364519.0,6036203.5,6032952.883860535,328315.5,331566.116139465
6514021.0,6744669.5,6736953.698765242,-230648.5,-222932.69876524154
6786695.0,6821906.5,6879577.042917243,-35211.5,-92882.0429172432
6892247.0,6807981.0,6796563.170382927,84266.0,95683.82961707283
7113490.0,7022338.0,7028029.86931299,91152.0,85460.13068700954
7184078.0,6318879.5,6320655.598642664,865198.5,863422.401357336
4838194.0,7462811.5,7477131.418699701,-2624617.5,-2638937.4186997013
4496895.0,4257973.0,4254339.119326627,238922.0,242555.88067337312
4418679.0,1849650.75,1826868.5597388756,2569028.25,2591810.4402611246
4686350.0,1849650.75,1852910.0059351858,2836699.25,2833439.9940648144
4793357.0,3915904.0,3858917.402497201,877453.0,934439.5975027988
4717667.0,4165971.25,4077445.3478959105,551695.75,640221.6521040895
4650013.0,4165971.25,4201410.7757463725,484041.75,448602.2242536275
4835497.0,4055983.5,3869129.8573042545,779513.5,966367.1426957455
5099264.0,3971731.5,3867715.9845916326,1127532.5,1231548.0154083674
5271014.0,3971731.5,4006779.263238927,1299282.5,1264234.736761073
