actual,oof_predictions,meta_predictions,oof_residuals,meta_residuals
9286510.0,9418617.0,9709622.54622276,-132107.0,-423112.5462227594
9463090.0,9994905.0,10339620.638705226,-531815.0,-876530.6387052257
9619986.0,9994905.0,10320699.103146026,-374919.0,-700713.1031460259
9716916.0,9887660.0,10206523.808244161,-170744.0,-489607.8082441613
10006435.0,10032474.0,10282256.448144516,-26039.0,-275821.448144516
10555258.0,9697433.0,9957623.299321847,857825.0,597634.700678153
10971252.0,9147137.0,9342332.412946103,1824115.0,1628919.5870538969
11158448.0,9253514.0,9466171.336389886,1904934.0,1692276.6636101138
11357291.0,9352757.0,9556247.022239642,2004534.0,1801043.9777603578
8312490.0,10167184.0,10452888.587097293,-1854694.0,-2140398.5870972928
19613068.0,20263528.0,21710310.122472968,-650460.0,-2097242.122472968
20721553.0,20013856.0,21154273.23683293,707697.0,-432720.23683293164
21139146.0,18990744.0,20160459.989835367,2148402.0,978686.0101646334
21004395.0,19231284.0,20491171.94591808,1773111.0,513223.05408192053
21586066.0,19823216.0,21036100.858296532,1762850.0,549965.1417034678
22653944.0,19006906.0,19966240.008774765,3647038.0,2687703.991225235
23341866.0,19754860.0,20883099.11558246,3587006.0,2458766.8844175413
24271810.0,18304966.0,19138504.56545043,5966844.0,5133305.43454957
24765838.0,18203786.0,19128588.177551325,6562052.0,5637249.822448675
16229724.0,18715444.0,19593601.342200056,-2485720.0,-3363877.3422000557
33549266.0,31082434.0,34337477.133797064,2466832.0,-788211.1337970644
34684574.0,31677468.0,34970740.86146349,3007106.0,-286166.86146348715
35102108.0,33032786.0,35889946.031996414,2069322.0,-787838.0319964141
34534903.0,32717822.0,35861804.9710015,1817081.0,-1326901.9710014984
35355640.0,30803276.0,33813303.54097945,4552364.0,1542336.4590205476
36543479.0,32868062.0,35583297.46489286,3675417.0,960181.5351071432
37356125.0,30718202.0,33466908.44678738,6637923.0,3889216.5532126203
38580323.0,30921536.0,33627124.06458409,7658787.0,4953198.935415909
38871383.0,29815496.0,32213493.110864326,9055887.0,6657889.889135674
25221795.0,33059070.0,36044227.62395674,-7837275.0,-10822432.62395674
5981042.0,6107962.5,6127428.105091797,-126920.5,-146386.1050917972
6401930.0,5763225.5,5758590.520574986,638704.5,643339.479425014
6568911.0,5914498.5,5940114.614399257,654412.5,628796.3856007429
6364519.0,5901190.5,5902436.838103772,463328.5,462082.16189622786
6514021.0,6396385.0,6403255.1341858925,117636.0,110765.86581410747
6786695.0,6434753.0,6448711.382295551,351942.0,337983.6177044492
6892247.0,5706984.0,5665852.750674548,1185263.0,1226394.2493254524
7113490.0,5869434.0,5826046.981934206,1244056.0,1287443.0180657944
7184078.0,5202639.5,5110853.762619847,1981438.5,2073224.2373801526
4838194.0,5651442.0,5589375.023316735,-813248.0,-751181.0233167354
4496895.0,2416677.5,2327823.5436952254,2080217.5,2169071.4563047746
4418679.0,1664957.375,1569704.190786363,2753721.625,2848974.809213637
4686350.0,1664957.375,1576960.7609467604,3021392.625,3109389.2390532396
4793357.0,3851078.75,3687317.954997015,942278.25,1106039.0450029848
4717667.0,3877698.0,3677501.003071162,839969.0,1040165.9969288381
4650013.0,3877698.0,3715118.8629252147,772315.0,934894.1370747853
4835497.0,3820941.75,3642104.5996789737,1014555.25,1193392.4003210263
5099264.0,3811061.25,3595204.87886334,1288202.75,1504059.1211366602
5271014.0,3811061.25,3635833.258257162,1459952.75,1635180.7417428382
